Candidate Name,Electoral District,LastName,Riding Number,Party,RidingLastName
Sylvia Jones,Dufferin--Caledon,Jones,18,Progressive Conservative Party of Ontario,18Jones
Daniel Kowalewski,Dufferin--Caledon,Kowalewski,18,Ontario Libertarian Party,18Kowalewski
Karren Wallace,Dufferin--Caledon,Wallace,18,Green Party of Ontario,18Wallace
Rehya Yazbek,Dufferin--Caledon,Yazbek,18,New Democratic Party of Ontario,18Yazbek
Granville Anderson,Durham,Anderson,19,Ontario Liberal Party,19Anderson
Michael Patrick,Durham,Patrick,19,Progressive Conservative Party of Ontario,19Patrick
Derek Spence,Durham,Spence,19,New Democratic Party of Ontario,19Spence
Conner Toye,Durham,Toye,19,Ontario Libertarian Party,19Toye
Halyna Zalucky,Durham,Zalucky,19,Green Party of Ontario,19Zalucky
Michael Bone,Eglinton--Lawrence,Bone,20,Freedom Party of Ontario,20Bone
Mike Colle,Eglinton--Lawrence,Colle,20,Ontario Liberal Party,20Colle
Thomas Gallezot,Eglinton--Lawrence,Gallezot,20,New Democratic Party of Ontario,20Gallezot
Robin Martin,Eglinton--Lawrence,Martin,20,Progressive Conservative Party of Ontario,20Martin
Lucas McCann,Eglinton--Lawrence,McCann,20,Green Party of Ontario,20McCann
Erwin Sniedzins,Eglinton--Lawrence,Sniedzins,20,INDEPENDENT,20Sniedzins
Kathy Cornish,Elgin--Middlesex--London,Cornish,21,New Democratic Party of Ontario,21Cornish
John Fisher,Elgin--Middlesex--London,Fisher,21,Green Party of Ontario,21Fisher
Serge Lavoie,Elgin--Middlesex--London,Lavoie,21,Ontario Liberal Party,21Lavoie
Clare Maloney,Elgin--Middlesex--London,Maloney,21,Freedom Party of Ontario,21Maloney
Jeffrey Yurek,Elgin--Middlesex--London,Yurek,21,Progressive Conservative Party of Ontario,21Yurek
Ray Cecile,Essex,Cecile,22,Progressive Conservative Party of Ontario,22Cecile
Crystal Meloche,Essex,Meloche,22,Ontario Liberal Party,22Meloche
Taras Natyshak,Essex,Natyshak,22,New Democratic Party of Ontario,22Natyshak
Mark Vercouteren,Essex,Vercouteren,22,Green Party of Ontario,22Vercouteren
Yvan Baker,Etobicoke Centre,Baker,23,Ontario Liberal Party,23Baker
Alexander Bussmann,Etobicoke Centre,Bussmann,23,Ontario Libertarian Party,23Bussmann
Christopher Jones,Etobicoke Centre,Jones,23,New Democratic Party of Ontario,23Jones
Andrew Kuess,Etobicoke Centre,Kuess,23,Freedom Party of Ontario,23Kuess
Pina Martino,Etobicoke Centre,Martino,23,Progressive Conservative Party of Ontario,23Martino
John Martins,Etobicoke Centre,Martins,23,The Peoples Political Party,23Martins
George Morrison,Etobicoke Centre,Morrison,23,Green Party of Ontario,23Morrison
Felicia Trigiani,Etobicoke Centre,Trigiani,23,Vegan Environmental Party,23Trigiani
Nigel Barriffe,Etobicoke North,Barriffe,25,New Democratic Party of Ontario,25Barriffe
Allan deRoo,Etobicoke North,deRoo,25,Ontario Libertarian Party,25deRoo
James McConnell,Etobicoke North,McConnell,25,Freedom Party of Ontario,25McConnell
Tony Milone,Etobicoke North,Milone,25,Progressive Conservative Party of Ontario,25Milone
Shafiq Qaadri,Etobicoke North,Qaadri,25,Ontario Liberal Party,25Qaadri
Kennith Robertson,Etobicoke North,Robertson,25,Green Party of Ontario,25Robertson
P.C. Choo,Etobicoke--Lakeshore,Choo,24,New Democratic Party of Ontario,24Choo
